condition,prompt_id,beta_ratio,layers,target,answer,correct,semantic_drift,attention_entropy,answer_tokens,repeat_frac,coherence_proxy
layer_0,p007,0.35,0,Rhea-007 DN-7536,Rhea-007,0,0.4275212287902832,0.3405781136825681,2,0.5,1.0
layer_0,p008,0.35,0,Silas-008 EV-2662,Silas-008,0,0.379988431930542,0.3350578313693404,2,0.5,1.0
layer_0,p009,0.35,0,Pavel-009 AX-3361,"Pavel-009, AX-3361",1,0.4137541651725769,0.33410579431802034,4,0.25,1.0
layer_0,p010,0.35,0,Felix-010 BR-9725,"Felix-010, BR-9725",1,0.3507472276687622,0.3363919388502836,4,0.25,1.0
layer_0,p011,0.35,0,Tara-011 DN-6726,"Tara-011, DN-6726",1,0.36641961336135864,0.3331381808966398,4,0.25,1.0
layer_0,p012,0.35,0,Dante-012 BR-8832,"Dante-012, BR-8832",1,0.3739832639694214,0.3363103726878762,4,0.25,1.0
layer_0,p013,0.35,0,Elena-013 EV-8771,Elena-013,0,0.44301432371139526,0.33390245866030455,2,0.5,1.0
layer_0,p014,0.35,0,Hugo-014 CY-5249,"Hugo-014, CY-5249",1,0.3244631290435791,0.3424269361421466,4,0.25,1.0
layer_0,p015,0.35,0,Pavel-015 AX-2011,Pavel-015,0,0.5139522552490234,0.3372238390147686,2,0.5,1.0
layer_0,p016,0.35,0,Quinn-016 EV-4267,Quinn-016,0,0.38875699043273926,0.33298695646226406,2,0.5,1.0
layer_0,p017,0.35,0,Hugo-017 AX-4484,"Hugo-017, AX-4484",1,0.3372024893760681,0.3383679324761033,4,0.25,1.0
layer_0,p018,0.35,0,Nolan-018 DN-6556,"Nolan-018, DN-6556",1,0.3434944152832031,0.33583215344697237,4,0.25,1.0
layer_0,p019,0.35,0,Cora-019 BR-2716,"Cora-019, BR-2716",1,0.3524567484855652,0.34237415343523026,4,0.25,1.0
layer_0,p020,0.35,0,Basil-020 DN-2186,Basil-020,0,0.47130775451660156,0.33872340340167284,2,0.5,1.0
layer_0,p021,0.35,0,Elena-021 EV-4906,"Elena-021, EV-4906",1,0.3803187608718872,0.33763042744249105,4,0.25,1.0
layer_0,p022,0.35,0,Ada-022 AX-1251,"Ada-022, AX-1251",1,0.3905852437019348,0.3357985122129321,4,0.25,1.0
layer_0,p023,0.35,0,Elena-023 CY-1891,"Elena-023, CY-1891",1,0.3663550615310669,0.33875167835503817,4,0.25,1.0
layer_1,p000,0.35,1,Kira-000 DN-1791,Kira-000 hid the copper lantern under code DN-1791.,1,0.202134370803833,0.3501643817871809,10,0.1,1.0
layer_1,p001,0.35,1,Silas-001 BR-2013,"The blue compass was hidden under the code BR-2013.

Explanation: The blue compass was hidden under the code BR",0,0.10663622617721558,0.3566672233864665,20,0.2,1.0
layer_1,p002,0.35,1,Rhea-002 EV-1976,"The blue compass under code was EV-1976.

Explanation: The blue compass under code is EV-1976.",0,0.1493169665336609,0.35470269061625004,17,0.11764705882352941,1.0
layer_1,p003,0.35,1,Kira-003 CY-2199,"The person hid the violet kite, and the code is CY-2199.",0,0.13614529371261597,0.36066429130733013,12,0.25,1.0
layer_1,p004,0.35,1,Cora-004 DN-2064,The code is DN-2064.,0,0.22385740280151367,0.3542795814573765,5,0.2,1.0
layer_1,p005,0.35,1,Jules-005 BR-7519,"The person's identifier is Jules-005.
The code is BR-7519.",1,0.1771540641784668,0.3575736368075013,12,0.16666666666666666,1.0
layer_1,p006,0.35,1,Cora-006 BR-4800,"The copper lantern was hidden under code BR-4800.

Explanation: 
The copper lantern was a key item in the",0,0.1397942304611206,0.35195061936974525,19,0.15789473684210525,1.0
layer_1,p007,0.35,1,Rhea-007 DN-7536,Rhea-007 hid the obsidian cup under code DN-7536.,1,0.15767264366149902,0.3586537605151534,10,0.1,1.0
layer_1,p008,0.35,1,Silas-008 EV-2662,The code was EV-2662.,0,0.2141461968421936,0.35463728103786707,5,0.2,1.0
layer_1,p009,0.35,1,Pavel-009 AX-3361,"The code is not provided in the context. However, based on the information given, it can be inferred that the code",0,0.17643404006958008,0.35393596068024635,21,0.19047619047619047,1.0
layer_1,p010,0.35,1,Felix-010 BR-9725,Felix-010,0,0.4365309476852417,0.35404866002500057,2,0.5,1.0
layer_1,p011,0.35,1,Tara-011 DN-6726,The ivory key was hidden under code DN-6726.,0,0.14457857608795166,0.35185458045452833,9,0.1111111111111111,1.0
layer_1,p012,0.35,1,Dante-012 BR-8832,"The code was ""BR-8832.""",0,0.28531402349472046,0.35243141930550337,5,0.2,1.0
layer_1,p013,0.35,1,Elena-013 EV-8771,The code was EV-8771.,0,0.22443097829818726,0.35116950795054436,5,0.2,1.0
layer_1,p014,0.35,1,Hugo-014 CY-5249,The code is CY-5249.,0,0.2615041732788086,0.35572298895567656,5,0.2,1.0
layer_1,p015,0.35,1,Pavel-015 AX-2011,The code was AX-2011.,0,0.23344123363494873,0.3548269607126713,5,0.2,1.0
layer_1,p016,0.35,1,Quinn-016 EV-4267,The code is EV-4267.,0,0.22931355237960815,0.35336980503052473,5,0.2,1.0
layer_1,p017,0.35,1,Hugo-017 AX-4484,"The person hid the obsidian cup, and the code is not specified.

Answer:",0,0.12105435132980347,0.3570521818473935,13,0.23076923076923078,1.0
layer_1,p018,0.35,1,Nolan-018 DN-6556,The code is DN-6556.,0,0.22279024124145508,0.35555512364953756,5,0.2,1.0
layer_1,p019,0.35,1,Cora-019 BR-2716,"The code is not explicitly stated in the context, but based on the given information, it can be inferred that:

-",0,0.15792310237884521,0.35884750355035067,20,0.15,1.0
layer_1,p020,0.35,1,Basil-020 DN-2186,The code was DN-2186.,0,0.1990697979927063,0.35493113473057747,5,0.2,1.0
layer_1,p021,0.35,1,Elena-021 EV-4906,"The code was ""EV-4906"".",0,0.28780442476272583,0.35352226067334414,5,0.2,1.0
layer_1,p022,0.35,1,Ada-022 AX-1251,"The green hourglass, and the code was Ada-022.",0,0.1619194746017456,0.353314102627337,9,0.2222222222222222,1.0
layer_1,p023,0.35,1,Elena-023 CY-1891,The code is CY-1891.,0,0.28382235765457153,0.35798061918467283,5,0.2,1.0
layer_2,p000,0.35,2,Kira-000 DN-1791,"You've shown since a (g8) we've got, and what was the code? (Answer: D)",0,0.1774349808692932,0.36644621565937996,16,0.125,1.0
layer_2,p001,0.35,2,Silas-001 BR-2013,"The answer is accepted, but a family, and a shared experience, and a shared journey, and contributions, you helped",0,0.21351730823516846,0.37651575170457363,19,0.15789473684210525,1.0
layer_2,p002,0.35,2,Rhea-002 EV-1976,"The answer was a successful session of the user, in the user, in the user, in the user, in the",0,0.18419528007507324,0.37210220750421286,20,0.3,1.0
layer_2,p003,0.35,2,Kira-003 CY-2199,"*  1  (and how long) the code, the collection was complete and merely, the archive that made",0,0.15661531686782837,0.38363562151789665,16,0.1875,1.0
layer_2,p004,0.35,2,Cora-004 DN-2064,"The index used cataloged twice, once by.",0,0.1781376600265503,0.3670120323076844,7,0.14285714285714285,1.0
layer_2,p005,0.35,2,Jules-005 BR-7519,"To use the copper lantern, and what was the code?",0,0.2072429060935974,0.3764484142884612,10,0.2,1.0
layer_2,p006,0.35,2,Cora-006 BR-4800,Answer: The index used a private shorthand that only half explained itself.,0,0.1470906138420105,0.37733633257448673,12,0.08333333333333333,1.0
layer_2,p007,0.35,2,Rhea-007 DN-7536,*  1 1 1 1 1 1 1 1 1 1 1,0,0.41189491748809814,0.37438230216503143,11,1.0,0.0
layer_2,p008,0.35,2,Silas-008 EV-2662,"* 5 c. 30, the index used a private shorthand that only half explained. The index used a private",0,0.13362443447113037,0.37121433205902576,18,0.1111111111111111,1.0
layer_2,p009,0.35,2,Pavel-009 AX-3361,"### your. The test was held, several, and the test that made the test that made the test that made the",0,0.1547379493713379,0.37311558332294226,20,0.25,1.0
layer_2,p010,0.35,2,Felix-010 BR-9725,"Question: Who hid the ivory key, and what was the code.",0,0.20313739776611328,0.3688540328294039,11,0.18181818181818182,1.0
layer_2,p011,0.35,2,Tara-011 DN-6726,"You've shown since the code, and what you requested, and all, and all, and every, and every,",0,0.1325443983078003,0.3685645228251815,18,0.2777777777777778,1.0
layer_2,p012,0.35,2,Dante-012 BR-8832,You've expressed items ideally and once again. A happy clerk moved between the aisles without disturbing the dust. A happy,0,0.12117868661880493,0.3704532887786627,21,0.09523809523809523,1.0
layer_2,p013,0.35,2,Elena-013 EV-8771,"The archive was cataloged twice, once by date and once by texture.",0,0.19402945041656494,0.3680923152714968,12,0.16666666666666666,1.0
layer_2,p014,0.35,2,Hugo-014 CY-5249,"Question: Who hid the crimson marble, and what was the code?",0,0.24564194679260254,0.3814160255715251,11,0.18181818181818182,1.0
layer_2,p015,0.35,2,Pavel-015 AX-2011,*  1. 1. 1. 1. 1. 1. 1.,0,0.32221370935440063,0.3775782445445657,7,1.0,0.0
layer_2,p016,0.35,2,Quinn-016 EV-4267,"The index used a private shorthand that only half explained, missing, letters, receipts, tools, and old photographs. Every",0,0.12797510623931885,0.36965966783463955,18,0.05555555555555555,1.0
layer_2,p017,0.35,2,Hugo-017 AX-4484,### The index used a private shorthand that only half explained. The afternoon light made the windows look like panes of honey,0,0.1450231671333313,0.38105976954102516,21,0.14285714285714285,1.0
layer_2,p018,0.35,2,Nolan-018 DN-6556,"Question, the second of [answer] 2017, and the second of [answer] 2017, and",0,0.1751488447189331,0.3650945844128728,13,0.15384615384615385,1.0
layer_2,p019,0.35,2,Cora-019 BR-2716,The index used a private shorthand that only half explained.,0,0.21412229537963867,0.37147701904177666,10,0.1,1.0
layer_2,p020,0.35,2,Basil-020 DN-2186,"The final answer, which was cataloged twice, once by date and once by texture. The room contained maps, receipts",0,0.12965333461761475,0.37009045016020536,19,0.10526315789473684,1.0
layer_2,p021,0.35,2,Elena-021 EV-4906,"The final answer, did: 2021 Elena.",0,0.250469446182251,0.3776092901825905,6,0.16666666666666666,1.0
layer_2,p022,0.35,2,Ada-022 AX-1251,"The index used, a private, was a success, and a success, and a pleasure, and a pleasure, and",0,0.13683468103408813,0.36570156179368496,18,0.2777777777777778,1.0
layer_2,p023,0.35,2,Elena-023 CY-1891,"Answer: 5 (hide) was the first time, and the first time, and the first time, and the",0,0.18352603912353516,0.38478722516447306,17,0.23529411764705882,1.0
layer_3,p000,0.35,3,Kira-000 DN-1791,"I'll provide the code for the problem you described. Let me know if you have any.

The problem you described is",0,0.24200940132141113,0.3284009052440524,22,0.13636363636363635,1.0
layer_3,p001,0.35,3,Silas-001 BR-2013,"In this format, there is no specific task provided to solve this problem. 

However, there are some specific tasks provided",0,0.21258807182312012,0.33256058767437935,20,0.1,1.0
layer_3,p002,0.35,3,Rhea-002 EV-1976,"I don't have a coffee, a type of cake, or a craft. I don't have an exact retrieval task",0,0.25870996713638306,0.334269892424345,21,0.14285714285714285,1.0
layer_3,p003,0.35,3,Kira-003 CY-2199,"The code is the following, I can provide it:

- The code is the following, I can provide it:
-",0,0.21945488452911377,0.33873170614242554,18,0.2222222222222222,1.0
layer_3,p004,0.35,3,Cora-004 DN-2064,I'll provide the code for the problem you described. Let me know if you have anything to do with the context you,0,0.244165301322937,0.3288445919752121,23,0.13043478260869565,1.0
layer_3,p005,0.35,3,Jules-005 BR-7519,You're not answering the question. There is a problem with the question on the text. It is not a problem on,0,0.23816001415252686,0.33741958625614643,22,0.13636363636363635,1.0
layer_3,p006,0.35,3,Cora-006 BR-4800,"I'll provide the code for the problem you described. However, I must clarify that I don't have personal experience with",0,0.27213311195373535,0.3308828938752413,22,0.13636363636363635,1.0
layer_3,p007,0.35,3,Rhea-007 DN-7536,"You are a young programmer, and this answer is not a question.",0,0.23648017644882202,0.33612102549523115,12,0.16666666666666666,1.0
layer_3,p008,0.35,3,Silas-008 EV-2662,The code is not provided.,0,0.2635195255279541,0.3287315769121051,5,0.2,1.0
layer_3,p009,0.35,3,Pavel-009 AX-3361,"I don't have the full code, as there are many lawyers in the oven. 

However, there are two essential",0,0.2134174108505249,0.3314006179571152,20,0.1,1.0
layer_3,p010,0.35,3,Felix-010 BR-9725,"I don't have the information that would allow me to be the queen of the world, and I don't have the",0,0.21286475658416748,0.3323339354246855,23,0.17391304347826086,1.0
layer_3,p011,0.35,3,Tara-011 DN-6726,I don't have the information to provide a single answer. I can provide a single answer.,0,0.21905916929244995,0.33107079192996025,17,0.11764705882352941,1.0
layer_3,p012,0.35,3,Dante-012 BR-8832,I don't have the ability to handle a customer's cart wheel. Your browser can use functions like these to provide control,0,0.2002267837524414,0.33287317119538784,23,0.08695652173913043,1.0
layer_3,p013,0.35,3,Elena-013 EV-8771,"I'll provide the code for the problem you described. Let me know if you have something to do with:

1.",0,0.2567249536514282,0.32043607346713543,21,0.09523809523809523,1.0
layer_3,p014,0.35,3,Hugo-014 CY-5249,"The code is exactly retrieval, and the context for this task, we can use it, is:

* Who:",0,0.18418407440185547,0.3460227781906724,17,0.11764705882352941,1.0
layer_3,p015,0.35,3,Pavel-015 AX-2011,"I don't have the full code, and
I don't have a similar one. 

I don't have the",0,0.24471008777618408,0.33201176952570677,20,0.15,1.0
layer_3,p016,0.35,3,Quinn-016 EV-4267,"I don't have a good thing, and I will not be encumbered. I don't have a good thing",0,0.22443103790283203,0.32968091033399105,20,0.15,1.0
layer_3,p017,0.35,3,Hugo-017 AX-4484,"I don't have the capability to be a blogger, nor do I have the capability to be a blogger.",0,0.2549624443054199,0.33163742162287235,20,0.1,1.0
layer_3,p018,0.35,3,Nolan-018 DN-6556,"I'll provide the code for the problem you described. Let me know if you have any code, and I'll provide",0,0.2680612802505493,0.3319951491430402,22,0.09090909090909091,1.0
layer_3,p019,0.35,3,Cora-019 BR-2716,"I don't have the full code, as there is no clear and concise function.",0,0.20450609922409058,0.3360223062336445,15,0.06666666666666667,1.0
layer_3,p020,0.35,3,Basil-020 DN-2186,"I'll provide the code for the problem you described. Let me know if you have any problem, and I'll explain",0,0.25166428089141846,0.3332796934992075,22,0.09090909090909091,1.0
layer_3,p021,0.35,3,Elena-021 EV-4906,"I don't have the capability to provide a human-readable code, nor do I have the capability to provide a human-readable",0,0.2451162338256836,0.33354409970343113,23,0.08695652173913043,1.0
layer_3,p022,0.35,3,Ada-022 AX-1251,"I don't have a coffee, a type of coffee, an article of another, a song of another, a text",0,0.24238717555999756,0.3277950594201684,20,0.2,1.0
layer_3,p023,0.35,3,Elena-023 CY-1891,"I don't have the full code, as you mentioned, I don't have a time slot filled with a piano,",0,0.18670421838760376,0.3383733471855521,21,0.09523809523809523,1.0
layer_4,p000,0.35,4,Kira-000 DN-1791,"No
Kira-000
DN-1791",1,0.43825507164001465,0.34706445410847664,5,0.2,1.0
layer_4,p001,0.35,4,Silas-001 BR-2013,No,0,0.6205129027366638,0.35228216275572777,1,1.0,0.0
layer_4,p002,0.35,4,Rhea-002 EV-1976,I can only provide the information you need if you can send eF1 = 100.,0,0.19077253341674805,0.3430543439462781,14,0.14285714285714285,1.0
layer_4,p003,0.35,4,Kira-003 CY-2199,"Kira-003
CY-2199
CY-2199
CY-2199
CY-2199",1,0.4847811460494995,0.35043516382575035,10,0.4,1.0
layer_4,p004,0.35,4,Cora-004 DN-2064,"None
Cora-004
DN-2064
Cora-004
DN-2064
Cor-",1,0.42397594451904297,0.34823909495025873,10,0.2,1.0
layer_4,p005,0.35,4,Jules-005 BR-7519,"Jules-005
BR-7519",1,0.4812290668487549,0.35429452173411846,4,0.25,1.0
layer_4,p006,0.35,4,Cora-006 BR-4800,"I can answer, but I can't provide the code.",0,0.24535739421844482,0.34295979887247086,10,0.2,1.0
layer_4,p007,0.35,4,Rhea-007 DN-7536,"I can only provide the answer.

Rhea-007 hid the obsidian cup under code DN-7536. No",1,0.17228102684020996,0.350343419238925,17,0.11764705882352941,1.0
layer_4,p008,0.35,4,Silas-008 EV-2662,None,0,0.48690104484558105,0.3475397862493992,1,1.0,0.0
layer_4,p009,0.35,4,Pavel-009 AX-3361,I don't have any information about the code.,0,0.22732222080230713,0.3468285286799073,9,0.1111111111111111,1.0
layer_4,p010,0.35,4,Felix-010 BR-9725,I don't have any information on the code or the notes in the margin.,0,0.17416894435882568,0.3509257398545742,15,0.2,1.0
layer_4,p011,0.35,4,Tara-011 DN-6726,"I can't provide any further information regarding the code, as the code is classified.",0,0.20841848850250244,0.3427618695423007,15,0.13333333333333333,1.0
layer_4,p012,0.35,4,Dante-012 BR-8832,"# No
#",0,0.5692088007926941,0.3458311492577195,1,1.0,0.0
layer_4,p013,0.35,4,Elena-013 EV-8771,"Elena-013 
The crimson marble under code EV-8771. 
The afternoon light made the windows look like",1,0.17331254482269287,0.3449165653437376,17,0.17647058823529413,1.0
layer_4,p014,0.35,4,Hugo-014 CY-5249,"Hugo-014
CY-5249",1,0.44579237699508667,0.35713707096874714,4,0.25,1.0
layer_4,p015,0.35,4,Pavel-015 AX-2011,"I can answer the question, but I will not provide Pavel-015 as the code.",0,0.18692266941070557,0.3472585482522845,15,0.13333333333333333,1.0
layer_4,p016,0.35,4,Quinn-016 EV-4267,"I can provide the information, but I cannot provide the code.",0,0.265850305557251,0.3468257198110223,11,0.18181818181818182,1.0
layer_4,p017,0.35,4,Hugo-017 AX-4484,"Hugo
Hugo-017",0,0.5934411287307739,0.3515851004049182,3,0.6666666666666666,0.0
layer_4,p018,0.35,4,Nolan-018 DN-6556,"Nolan
DN-6556",0,0.4994206428527832,0.34473355673253536,3,0.3333333333333333,1.0
layer_4,p019,0.35,4,Cora-019 BR-2716,None,0,0.5075668096542358,0.352339637465775,1,1.0,0.0
layer_4,p020,0.35,4,Basil-020 DN-2186,I don't have any further information about the code or the proverb.,0,0.18943274021148682,0.3503701463341713,13,0.15384615384615385,1.0
layer_4,p021,0.35,4,Elena-021 EV-4906,"Elena-021
EV-4906",1,0.4941166639328003,0.3484854707494378,4,0.25,1.0
layer_4,p022,0.35,4,Ada-022 AX-1251,"No
Answer:",0,0.37379729747772217,0.34179071709513664,2,0.5,1.0
layer_4,p023,0.35,4,Elena-023 CY-1891,Elena-023 | CY-1891,1,0.436936616897583,0.3503322396427393,4,0.25,1.0
layer_5,p000,0.35,5,Kira-000 DN-1791,Kira-000,0,0.5362708866596222,0.33325532637536526,2,0.5,1.0
layer_5,p001,0.35,5,Silas-001 BR-2013,BR-2013,0,0.4569282531738281,0.3370881397277117,2,0.5,1.0
layer_5,p002,0.35,5,Rhea-002 EV-1976,Rhea-002,0,0.4765981435775757,0.33143705129623413,2,0.5,1.0
layer_5,p003,0.35,5,Kira-003 CY-2199,Violet-001: CY-2199,0,0.3931341767311096,0.3438544673845172,4,0.25,1.0
layer_5,p004,0.35,5,Cora-004 DN-2064,Cora-004,0,0.46247971057891846,0.3324244124814868,2,0.5,1.0
layer_5,p005,0.35,5,Jules-005 BR-7519,C-001,0,0.5749877393245697,0.3405760684981942,2,0.5,1.0
layer_5,p006,0.35,5,Cora-006 BR-4800,Cora-006,0,0.4742997884750366,0.3293034601956606,2,0.5,1.0
layer_5,p007,0.35,5,Rhea-007 DN-7536,Rhea-007,0,0.47622156143188477,0.3366642892360687,2,0.5,1.0
layer_5,p008,0.35,5,Silas-008 EV-2662,Silas-008,0,0.40466833114624023,0.33447472658008337,2,0.5,1.0
layer_5,p009,0.35,5,Pavel-009 AX-3361,Pavel-009,0,0.5553222894668579,0.3355727465823293,2,0.5,1.0
layer_5,p010,0.35,5,Felix-010 BR-9725,Felix-010,0,0.4519951343536377,0.33626644872128963,2,0.5,1.0
layer_5,p011,0.35,5,Tara-011 DN-6726,Tara-011,0,0.49542635679244995,0.3332337075844407,2,0.5,1.0
layer_5,p012,0.35,5,Dante-012 BR-8832,BR-8832,0,0.48853933811187744,0.33495754189789295,2,0.5,1.0
layer_5,p013,0.35,5,Elena-013 EV-8771,Elena-013,0,0.4723602533340454,0.3329127784818411,2,0.5,1.0
layer_5,p014,0.35,5,Hugo-014 CY-5249,1 1 1 1 1 1 1 1 1 1 1 1,0,0.49584317207336426,0.34286317229270935,12,1.0,0.0
layer_5,p015,0.35,5,Pavel-015 AX-2011,Pavel-015,0,0.5275906324386597,0.33723779395222664,2,0.5,1.0
layer_5,p016,0.35,5,Quinn-016 EV-4267,QV 001 - 02 001 - 02 001 - 02 001 - 02 001,0,0.40148890018463135,0.3327327026054263,10,0.5,1.0
layer_5,p017,0.35,5,Hugo-017 AX-4484,AX-4484,0,0.47670453786849976,0.33797478303313255,2,0.5,1.0
layer_5,p018,0.35,5,Nolan-018 DN-6556,"Nolan-018, code DN-6556",1,0.3119248151779175,0.3361923396587372,5,0.2,1.0
layer_5,p019,0.35,5,Cora-019 BR-2716,BR-2716,0,0.48121780157089233,0.338465079665184,2,0.5,1.0
layer_5,p020,0.35,5,Basil-020 DN-2186,Basil-020,0,0.5116925835609436,0.33647575974464417,2,0.5,1.0
layer_5,p021,0.35,5,Elena-021 EV-4906,Elena-021,0,0.4981454014778137,0.3351130746304989,2,0.5,1.0
layer_5,p022,0.35,5,Ada-022 AX-1251,AX-1251,0,0.4728725552558899,0.3288818830624223,2,0.5,1.0
layer_5,p023,0.35,5,Elena-023 CY-1891,Elena-023,0,0.4813745617866516,0.3394448487088084,2,0.5,1.0
layer_6,p000,0.35,6,Kira-000 DN-1791,Kira-000 hid the copper lantern under code DN-1791.,1,0.23471051454544067,0.33440658170729876,10,0.1,1.0
layer_6,p001,0.35,6,Silas-001 BR-2013,Silas-001 hid the blue compass under code BR-2013.,1,0.1808774471282959,0.3346887119114399,10,0.1,1.0
layer_6,p002,0.35,6,Rhea-002 EV-1976,Rhea-002 hid the blue compass under code EV-1976.,1,0.2044926881790161,0.33308738842606544,10,0.1,1.0
layer_6,p003,0.35,6,Kira-003 CY-2199,Kira-003,0,0.4839266538619995,0.340688306838274,2,0.5,1.0
layer_6,p004,0.35,6,Cora-004 DN-2064,Cora-004 hid the green hourglass under code DN-2064.,1,0.2009972333908081,0.3319600820541382,10,0.1,1.0
layer_6,p005,0.35,6,Jules-005 BR-7519,Jules-005 hid the copper lantern under code BR-7519.,1,0.194411039352417,0.3375472854822874,10,0.1,1.0
layer_6,p006,0.35,6,Cora-006 BR-4800,Cora-006 hid the copper lantern under code BR-4800.,1,0.22375500202178955,0.33000198658555746,10,0.1,1.0
layer_6,p007,0.35,6,Rhea-007 DN-7536,Rhea-007.,0,0.4776250123977661,0.3347125547006726,2,0.5,1.0
layer_6,p008,0.35,6,Silas-008 EV-2662,Silas-008,0,0.4127679467201233,0.3342306111007929,2,0.5,1.0
layer_6,p009,0.35,6,Pavel-009 AX-3361,Pavel-009 hid the green hourglass under code AX-3361.,1,0.2224959135055542,0.33419289253652096,10,0.1,1.0
layer_6,p010,0.35,6,Felix-010 BR-9725,Felix-010.,0,0.4599798917770386,0.3353386614471674,2,0.5,1.0
layer_6,p011,0.35,6,Tara-011 DN-6726,Tara-011 hid the ivory key under code DN-6726.,1,0.2097550630569458,0.3332557138055563,10,0.1,1.0
layer_6,p012,0.35,6,Dante-012 BR-8832,Dante-012,0,0.4635474681854248,0.33441988099366426,2,0.5,1.0
layer_6,p013,0.35,6,Elena-013 EV-8771,Elena-013 hid the crimson marble under code EV-8771.,1,0.2107480764389038,0.3321381490677595,10,0.1,1.0
layer_6,p014,0.35,6,Hugo-014 CY-5249,Hugo-014 hid the crimson marble under code CY-5249.,1,0.20169591903686523,0.3387924851849675,10,0.1,1.0
layer_6,p015,0.35,6,Pavel-015 AX-2011,Pavel-015 hid the crimson marble under code AX-2011.,1,0.21754944324493408,0.33569535054266453,10,0.1,1.0
